Player,Age,Year,Tm,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_per36,GS_per36,MP_per36,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster,PC1,PC2,PC3
Andre Jackson Jr.,23,2024,MIL,SG,67,43,980,94,197,30,76,64,121,12,24,65,117,182,83,34,14,58,114,230,2.4612244897959186,1.5795918367346937,36.0,3.453061224489796,7.236734693877551,1.1020408163265305,2.7918367346938777,2.3510204081632655,4.444897959183673,0.4408163265306122,0.8816326530612244,2.3877551020408165,4.29795918367347,6.685714285714286,3.048979591836735,1.2489795918367346,0.5142857142857142,2.1306122448979594,4.187755102040816,8.448979591836736,0,-3.5179218535630827,1.7242069193541023,-0.1673386983911656
Andrew Nembhard,23,2023,IND,SG,75,63,2073,284,644,92,263,192,381,49,62,35,164,199,341,70,13,126,179,709,1.3024602026049203,1.0940665701881331,36.0,4.931982633863965,11.183791606367583,1.597684515195369,4.567293777134587,3.334298118668596,6.616497829232996,0.8509406657018814,1.076700434153401,0.6078147612156296,2.848046309696093,3.455861070911722,5.921852387843705,1.2156295224312592,0.22575976845151954,2.1881331403762663,3.108538350217077,12.312590448625182,0,-1.618187128499114,-1.1951193543517633,1.5465149298147078
Andrew Nembhard,25,2024,IND,SG,65,65,1881,247,539,51,175,196,364,108,136,34,182,216,326,79,11,112,149,653,1.2440191387559807,1.2440191387559807,36.0,4.7272727272727275,10.31578947368421,0.9760765550239234,3.3492822966507174,3.751196172248804,6.966507177033493,2.0669856459330145,2.6028708133971294,0.6507177033492824,3.4832535885167464,4.133971291866029,6.239234449760766,1.5119617224880382,0.21052631578947367,2.1435406698564594,2.8516746411483256,12.497607655502392,0,-1.011949679750044,-0.6007273564964862,0.7580016146452914
Andrew Wiggins,25,2021,GSW,PF,71,71,2364,505,1058,140,368,365,690,170,238,82,265,347,167,67,70,126,159,1320,1.0812182741116751,1.0812182741116751,36.0,7.690355329949238,16.111675126903553,2.1319796954314723,5.604060913705584,5.558375634517766,10.50761421319797,2.5888324873096447,3.6243654822335025,1.248730964467005,4.035532994923858,5.284263959390863,2.5431472081218276,1.0203045685279188,1.0659898477157361,1.9187817258883249,2.4213197969543145,20.101522842639593,2,1.5137513684920758,-0.7033791117697505,1.6269385640728922
Andrew Wiggins,26,2022,GSW,SF,73,73,2330,475,1019,157,399,318,620,149,235,85,240,325,161,76,51,111,158,1256,1.1278969957081544,1.1278969957081544,36.0,7.339055793991417,15.74420600858369,2.4257510729613734,6.164806866952789,4.913304721030043,9.579399141630901,2.3021459227467806,3.630901287553648,1.313304721030043,3.708154506437768,5.021459227467811,2.4875536480686695,1.1742489270386267,0.7879828326180257,1.7150214592274677,2.441201716738197,19.406008583690987,2,0.9567759859320423,-1.1051555705400566,1.756432068166519
Andrew Wiggins,27,2023,GSW,SF,37,37,1190,250,529,89,225,161,304,44,72,61,125,186,85,45,28,48,107,633,1.119327731092437,1.119327731092437,36.0,7.563025210084033,16.003361344537815,2.6924369747899157,6.80672268907563,4.870588235294117,9.196638655462184,1.3310924369747898,2.1781512605042015,1.845378151260504,3.7815126050420167,5.626890756302521,2.571428571428571,1.3613445378151259,0.8470588235294118,1.4521008403361346,3.2369747899159664,19.149579831932773,0,-0.14742407230523785,-0.45515034316923897,-2.1945122734377884
Andrew Wiggins,29,2024,GSW,SF,60,60,1842,376,839,130,348,246,491,196,257,89,180,269,158,60,50,99,101,1078,1.1726384364820848,1.1726384364820848,36.0,7.348534201954398,16.39739413680782,2.5407166123778504,6.801302931596092,4.807817589576548,9.596091205211726,3.8306188925081437,5.0228013029315965,1.739413680781759,3.5179153094462543,5.257328990228014,3.0879478827361564,1.1726384364820848,0.977198697068404,1.93485342019544,1.9739413680781759,21.06840390879479,2,1.6379308340545191,-1.158727855979034,0.12790435466328665
Anfernee Simons,21,2021,POR,SG,64,0,1104,168,401,120,282,48,119,46,57,14,126,140,89,18,8,43,96,502,2.0869565217391304,0.0,36.0,5.478260869565218,13.076086956521738,3.9130434782608696,9.195652173913045,1.5652173913043477,3.880434782608696,1.5,1.858695652173913,0.4565217391304348,4.108695652173913,4.565217391304348,2.902173913043478,0.5869565217391304,0.2608695652173913,1.4021739130434783,3.1304347826086953,16.369565217391305,0,-2.5457548364663696,-2.1194561045002716,-1.2071130265756789
Anfernee Simons,22,2022,POR,SG,57,30,1681,353,797,179,442,174,355,103,116,26,125,151,221,30,6,115,110,988,1.2207019631171923,0.6424747174301011,36.0,7.559785841760856,17.06841165972635,3.83343248066627,9.465794170136824,3.7263533610945867,7.602617489589529,2.2058298631766804,2.484235574063058,0.5568114217727543,2.6769779892920877,3.2337894110648424,4.732897085068412,0.6424747174301011,0.12849494348602022,2.462819750148721,2.355740630577037,21.158834027364666,0,0.3754725889945946,-3.353482556647291,-0.8341483517008302
Anfernee Simons,23,2023,POR,SG,62,62,2171,467,1045,212,562,255,483,160,179,18,143,161,253,42,14,128,142,1306,1.0280976508521418,1.0280976508521418,36.0,7.743896821741133,17.3284200829111,3.515430677107324,9.319207738369414,4.22846614463381,8.009212344541686,2.6531552280055273,2.9682174113311834,0.29847996315062186,2.37125748502994,2.6697374481805616,4.19530170428374,0.696453247351451,0.23215108245048363,2.122524182404422,2.354675264854906,21.65637954859512,2,0.9378055746649906,-3.456062038198931,0.6068592732726827
Anfernee Simons,25,2024,POR,SG,70,70,2292,479,1125,215,593,264,532,175,194,25,164,189,337,60,5,143,117,1348,1.0994764397905759,1.0994764397905759,36.0,7.523560209424084,17.670157068062828,3.3769633507853407,9.314136125654452,4.146596858638743,8.356020942408378,2.74869109947644,3.0471204188481673,0.39267015706806285,2.575916230366492,2.9685863874345553,5.293193717277488,0.9424083769633508,0.07853403141361257,2.2460732984293195,1.837696335078534,21.17277486910995,2,1.2037506640589877,-3.7021182023271124,1.2732152763852074
Anthony Black,21,2024,ORL,PG,78,10,1887,262,620,62,195,200,425,150,197,52,178,230,240,86,48,139,166,736,1.4880763116057232,0.19077901430842606,36.0,4.998410174880763,11.828298887122418,1.1828298887122417,3.7201907790143083,3.8155802861685215,8.108108108108109,2.861685214626391,3.7583465818759936,0.9920508744038156,3.395866454689984,4.387917329093799,4.578696343402226,1.6406995230524641,0.9157392686804452,2.6518282988871227,3.166931637519873,14.041335453100158,0,-0.5709469198128003,-0.03504106522287539,0.11665871697650065
Anthony Davis,27,2021,LAL,PF,36,36,1162,301,613,26,100,275,513,158,214,62,224,286,110,45,59,74,60,786,1.1153184165232357,1.1153184165232357,36.0,9.325301204819278,18.991394148020653,0.8055077452667814,3.098106712564544,8.519793459552496,15.89328743545611,4.89500860585198,6.629948364888124,1.9208261617900173,6.9397590361445785,8.860585197934595,3.4079173838209984,1.3941480206540449,1.8278829604130808,2.2925989672977627,1.8588640275387263,24.351118760757316,2,4.558597349639779,1.7741100157367398,-2.7227129650027813
Anthony Davis,28,2022,LAL,C,40,40,1404,370,695,13,70,357,625,174,244,106,288,394,122,49,90,82,97,927,1.0256410256410255,1.0256410256410255,36.0,9.487179487179489,17.82051282051282,0.3333333333333333,1.794871794871795,9.153846153846153,16.025641025641026,4.461538461538462,6.256410256410257,2.717948717948718,7.384615384615384,10.102564102564104,3.1282051282051286,1.2564102564102564,2.3076923076923075,2.1025641025641026,2.4871794871794872,23.76923076923077,1,4.537018434228736,3.2018721197851123,-2.0065314687866134
Anthony Davis,29,2023,LAL,C,56,54,1904,542,962,19,74,523,888,348,444,195,507,702,148,59,114,122,146,1451,1.0588235294117647,1.0210084033613445,36.0,10.247899159663865,18.1890756302521,0.35924369747899154,1.3991596638655461,9.888655462184875,16.789915966386555,6.579831932773109,8.394957983193278,3.686974789915966,9.586134453781513,13.27310924369748,2.7983193277310923,1.115546218487395,2.1554621848739495,2.30672268907563,2.7605042016806722,27.43487394957983,1,6.552967501845249,4.187330175704689,-0.44712166954987503
